SlideID,Src,Href,Sign,Status,PostTime,OrderIndex
1,/upload_files/images/index-slide/1.jpg,<blank>,幻灯1,Close,2016-04-07 23:45:08,6
2,/upload_files/images/index-slide/2.jpg,<blank>,幻灯2,Open,2016-04-07 23:47:04,4
7,/upload_files/images/index-slide/7.png,http://www.stem-immune.com/news.php,幻灯4,Open,2016-09-22 16:05:40,3
9,/upload_files/images/index-slide/9.png,http://stem-immune.com/news.php,幻灯5,Open,2017-07-16 16:11:53,2
11,/upload_files/images/index-slide/11.png,http://stem-immune.com/product.php?id=20,幻灯6,Open,2017-07-16 16:48:36,7
12,/upload_files/images/index-slide/12.jpg,https://www.stem-immune.com/news-show.php?id=10,幻灯7,Close,2018-05-24 19:53:51,1

